Store,Domain,Program Found,Program Type,Atribe Usability,Signup URL,Tracking Method,Commission,Network/Tool,Evidence URL,Notes
Traya,traya.health,Yes,Affiliate program,Medium,https://affiliates.traya.health/,affiliate link,10-15%,Custom affiliate portal,https://affiliates.traya.health/,Public affiliate portal found; public landing suggests approval or onboarding is required.
Gonoise,gonoise.com,Yes,Affiliate program,Medium,https://affi.io/m/gonoise,affiliate link,,vCommission / Sovrn Commerce,https://affi.io/m/gonoise,Public affiliate-network listings surfaced; no first-party signup page was confirmed in the prior pass.
Foxtale,foxtale.in,Yes,Affiliate program,Easy,https://foxtale.in/pages/affiliate-program/,affiliate link + coupon code,,First-party page,https://foxtale.in/pages/affiliate-program/,Official page mentions a customized coupon code and commission on every sale.
Boat-lifestyle,boat-lifestyle.com,Yes,Affiliate program,Medium,https://www.cuelinks.com/campaigns/boat-affiliate-program,affiliate link,6.49%,Cuelinks,https://www.cuelinks.com/campaigns/boat-affiliate-program,Third-party affiliate network listing found; boAt also exposes a separate customer refer-and-earn page on its official site.
Deodap,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Thehouseofrare,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
82e,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Gonoise,gonoise.com,Yes,Affiliate program,Medium,https://affi.io/m/gonoise,affiliate link,,vCommission / Sovrn Commerce,https://affi.io/m/gonoise,Public affiliate-network listings surfaced; no first-party signup page was confirmed in the prior pass.
Beminimalist,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Zanducare,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Neemans,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Adilqadri,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Discoverpilgrim,discoverpilgrim.com,Yes,Affiliate program,Medium,https://discoverpilgrim.com/pages/affiliates,affiliate link + coupon code,,First-party affiliate dashboard,https://discoverpilgrim.com/pages/affiliates,"Official page says applicants are reviewed and, once approved, get an affiliate dashboard plus code/links."
Oswaalbooks,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Myfrido,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Thedeconstruct,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Makerbazar,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Peachmode,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Xyxxcrew,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Justherbs,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Myborosil,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Salty,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Acwo,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Nobero,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Myraymond,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Littleboxindia,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Supertails,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Aqualogica,aqualogica.in,Yes,Affiliate program,Medium,https://affi.io/m/aqualogica,affiliate link,,Sale Gains / Indoleads,https://affi.io/m/aqualogica,Public affiliate-network listings surfaced; Aqualogica support also says its reseller program is no longer available.
Thebearhouse,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Lakmeindia,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Himalayawellness,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Baccabucci,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Chemistatplay,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Mivi,mivi.in,Yes,Affiliate program,Easy,https://mivi.tapfiliate.com/,affiliate link,,Tapfiliate,https://mivi.tapfiliate.com/,Public signup page found; Mivi site footer also exposes an Affiliate Program link.
Bellavitaorganic,bellavitaorganic.com,Yes,Affiliate program,Easy,https://affiliates.bellavita.in/,affiliate link,,Custom affiliate portal,https://affiliates.bellavita.in/,Affiliate login page exposes account creation publicly; separate official referral page also exists.
Durexindia,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Nestasia,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Medibuddy,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Shrus,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Zingavita,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Zaav,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Amala,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Bookishsanta,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Zouk,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Mywishcare,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Zeroharm,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Knyamed,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Beardo,beardo.in,Yes,Affiliate program,Medium,https://affi.io/m/beardo,affiliate link,,FlexOffers / Sale Gains / Indoleads,https://affi.io/m/beardo,Public affiliate-network listings surfaced; no first-party signup page was confirmed in the prior pass.
Www Snitch,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Scooboo,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Myshopify,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Reginaldmen,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Themanan,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Mymuse,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Sinderella,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Dermatouch,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Aimilpharma,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Westside,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Uspoloassn,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Nveda,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Bluetyga,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Johnjacobseyewear,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Myshopify,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Offduty,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Levi,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Headsupfortails,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Bblunt,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
Libas,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in the prior pass.
