Store,Domain,Program Found,Program Type,Atribe Usability,Signup URL,Tracking Method,Commission,Network/Tool,Evidence URL,Notes
Unilever Indonesia Official Shop,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Ace Fashion Official Shop,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Morymony Official Shop,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Belia Cosmetic,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
TnT Beauty Shop,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Madame Gie Official Shop,madamegie.com,Yes,Influencer program,Medium,https://linktr.ee/madame.gie,affiliate link,,TikTok Affiliate / official Linktree,https://linktr.ee/madame.gie,"Official Linktree exposes regional TikTok Affiliate entry points, indicating a creator-facing affiliate path."
Fygalery,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Mumu,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
ỐP LƯNG IPHONE - SHIN CASE,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
YAZI FASHION,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
WILLET,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
S-Mart by Shopee,,No,No public program found,Not usable,,,,,,Marketplace-owned or generic retail store; no separate public creator program was confirmed at the store level.
NajwaFashionMuslim,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
ABUBOT_PH,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Watchbrands,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Girlfashionstory Official Shop,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
MissConnie.id,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Wardah Official Shop,wardahbeauty.com,Yes,Affiliate program,Medium,https://accesstrade.co.id/blogs/affiliate-marketing/wardah-affiliate-program,affiliate link,7.5%,ACCESSTRADE,https://accesstrade.co.id/blogs/affiliate-marketing/wardah-affiliate-program,Public ACCESSTRADE article says the campaign is for Shopee Official Store only with 7-day cookie and purchase tracking.
Smart Voucher,,No,No public program found,Not usable,,,,,,Marketplace-owned or generic retail store; no separate public creator program was confirmed at the store level.
ERIGO Official Shop,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
ỐP LƯNG IPHONE -SIÊU THỊ AWiFi,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Daffawahyu,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
SAMAHARGA SHOP,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Shopee Mart,,No,No public program found,Not usable,,,,,,Marketplace-owned or generic retail store; no separate public creator program was confirmed at the store level.
Jingzuan,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
BTC_SOLO BEST TREND CENTER,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Albee_298,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
COZME Official ✅,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Rhian,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Garnier Indonesia Official Shop,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Wings Official Shop,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Grimo Bag & Fashion Wholesale 🛍,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
RG Aksesoris HP,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
FANCY,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
OSM Online Shopping Mall,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Sepatubandung_ official shop,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
GOTO Hardware Official Shop,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
SS Swim Shop Fashion,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
LSJ Fashion,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Mofan Accessories,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Boss Kosmetik Medan,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
RX Fashion Official Shop,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Linda & Anne,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Clodistore Official Shop,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Watsons Malaysia,watsons.com.my,Yes,Affiliate program,Medium,https://app.involve.asia/directory/watsons-malaysia-affiliate-program,affiliate link,up to 2.10%,Involve Asia,https://app.involve.asia/directory/watsons-malaysia-affiliate-program,Public affiliate-network directory shows a CPS affiliate program; Watsons also runs a separate official refer-a-friend offer for customers.
Chikoisme Official Shop,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
NIVEA Official Store,nivea.co.id,Yes,Affiliate program,Medium,https://accesstrade.co.id/campaign-directory,affiliate link,,ACCESSTRADE,https://accesstrade.co.id/campaign-directory,"Public ACCESSTRADE campaign directory lists Nivea Shopee and Nivea Lazada affiliate campaigns, but the detailed public commission page was not surfaced."
Diva Store Official Shop,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Supermarket,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Momo House,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
康是美Cosmed,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Iklan Shopee Official,,No,No public program found,Not usable,,,,,,Marketplace-owned or generic retail store; no separate public creator program was confirmed at the store level.
27AN.ID,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Star Sealer Shop,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Charoza,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Kily.Ph Online,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Comfashionstore,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Grocerysale.no1,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Shopee Tanam Shop,,No,No public program found,Not usable,,,,,,Marketplace-owned or generic retail store; no separate public creator program was confirmed at the store level.
Scarlett Whitening Official Shop,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Charlottequinn,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
LSY School Supplies,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Rifanyhijab,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
BOSS JURAGAN ONLINE ❤️,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Beautycallindo & Ivabeaute.id,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
CherryBabyKidsShop Official shop,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Juragan Sepatu Bogor,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Juragan Kado,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Rafashop Surabaya Official Shop,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Kuke Store,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
E-Mart by Shopee,,No,No public program found,Not usable,,,,,,Marketplace-owned or generic retail store; no separate public creator program was confirmed at the store level.
3dcase.id,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Sunglasses By SEP.28,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
R&O RedOrange,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Lbagstore,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Your Resellers' Hub,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Emina Official Shop,eminacosmetics.com,Yes,Affiliate program,Medium,https://accesstrade.co.id/campaign/6816,affiliate link,7.5%,ACCESSTRADE,https://accesstrade.co.id/blogs/affiliate-marketing/emina-cosmetics-affiliate-program,Public ACCESSTRADE pages surface Emina CPS Shopee with 7-day cookie and official-store purchase tracking.
L'Oreal Paris Indonesia Official,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
FAVOR Beauty Supplies,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Rowling,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Deli Official Shop,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
P&G Official Store,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
BABY AVENE,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
JOYKO Official Shop,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Salehijab.id | tierack,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Takasimura_store,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Sepatu Import Bogor,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Mixacc,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
ALICEBRA_SHOP,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
HERMANCOLLECTION,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
HOHO_HWANG,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Miss CoCo,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Distributor.cream.ori,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Winshopsolo,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
STX Direct,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
DIAMORE.GROSIR (ASLI),,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
DVX Divisoria Extension,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
MDZZ,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Indo Ultimate,,No,No public program found,Not usable,,,,,,No public creator-compatible program was confirmed in this pass.
Watsons Indonesia Official Shop,watsons.co.id,Yes,Affiliate program,Medium,https://app.involve.asia/directory/watsons-indonesia-affiliate-program,affiliate link,2.45%,Involve Asia,https://app.involve.asia/directory/watsons-indonesia-affiliate-program,Public affiliate-network directory shows Watsons Indonesia CPS with deeplink/tools; official site separately promotes member perks rather than creator signup.
